name,id
"By Good, Phyllis Pellman",author_278
"By Vachss, Andrew H.",author_279
"By Schwartz, Arthur",author_280
"By Shulman, Martha Rose and Drechsler, Debbie (ILT)",author_281
By Sunset Books,author_282
"By Price, Reynolds",author_283
"By Gesue, Monica (ILT) and Bonnell, Jennifer",author_284
"By Clurman, Harold",author_285
"By Davies, Robertson",author_286
"By Sears, Barry and Goodbody, Mary",author_287
By David Stick,author_288
"By Robert Frank Mager, Peter Pipe",author_289
"By Pipher, Mary Bray",author_290
"By Seward, Desmond",author_291
By Joachim Hans Schwelien,author_292
"By Barrett, Patti",author_293
By Bert Ghezzi,author_294
"By Bales, Suzanne Frutig",author_295
"By Schildt, John W.",author_296
"By Hale, Glorya (EDT), Anderson, Anne, Lee, Ella Doldar, Anderson, Anne (ILT), and Lee, Ella Doldar (ILT)",author_297
"By Miloradovich, Milo",author_298
"By Mellinkoff, Ruth",author_299
"By Segalove, Ilene and Velick, Paul Bob",author_300
"By Boswell, John",author_301
"By Batchelor, John Calvin",author_302
By Eric  Bentley,author_303
"By Begley, Louis",author_304
"By Linsley, Leslie, Aron, Jon (PHT), and Savonen, Robby (ILT)",author_305
"By Cowles Creative Publishing, Cy Decosse Inc",author_306
"By McCully, Helen",author_307
"By Idone, Christopher",author_308
"By Bowen, Catherine Drinker",author_309
"By Ferris, Timothy",author_310
"By Weil, Andrew",author_311
"By Gillespie, Jane",author_312
"By Greene, Harris",author_313
"By Amos, Deborah",author_314
"By Vinge, Vernor",author_315
"By Orman, Suze",author_316
"By Gilbert, Bill",author_317
"By Penner, Clifford and Penner, Joyce",author_318
"By Vaganova, A. Ia.",author_319
"By Hinn, Benny",author_320
"By Lesley, Cole",author_321
"By Schulz, Charles M. and Larkin, David (EDT)",author_322
"By Brower, Brock",author_323
"By Moyers, Bill D., Grubin, David, and Haba, James",author_324
"By Johnson, Dave and Housenbold, Jeffrey",author_325
"By Williams, Neville",author_326
"By Sadie, Stanley",author_327
"By Santelli, Robert",author_328
"By Robbins, Alexandra",author_329
"By Kirk, Don",author_330
"By Buckley, James, Teitelbaum, Michael, and Wolff, Rick (FRW)",author_331
"By Enroth, Ronald",author_332
"By Faber, Randall (COP), Faber, Nancy (COM), and Hansen, Jeanne (CON)",author_333
"By Kavanaugh, James J",author_334
"By Rosenfeld, Harvey",author_335
"By Ripken, Cal, Jr. and Bryan, Mike",author_336
